tx_sign,base_call,in_wsprnet,in_wsprdaemon,source_class,quality_tier,modal_grid,grid_precision,lat,lon,hemisphere,abs_lat,cgm_lat,abs_cgm_lat,n_days_active,n_spots_wsprnet
G4JIX,G4JIX,True,True,both,B,IO94fq,6.0,54.6875,-1.5417,N,54.6875,51.117,51.117,29,66630
G4JJH,G4JJH,True,True,both,B,JO01,4.0,51.5,1.0,N,51.5,47.154,47.154,8,1310
G4JNT,G4JNT,True,True,both,B,IO90iv,6.0,50.8958,-1.2917,N,50.8958,46.449,46.449,7,2761
G4JNW,G4JNW,True,True,both,A,IO94,4.0,54.5,-1.0,N,54.5,50.87,50.87,13,12767
G4JQT,G4JQT,True,True,both,A,JO02ju,6.0,52.8542,0.7917,N,52.8542,48.82,48.82,18,34992
G4JQT/P,G4JQT,True,True,both,A,IO91ll,6.0,51.4792,-1.0417,N,51.4792,47.171,47.171,220,1034435
G4JUW,G4JUW,True,True,both,A,IO82,4.0,52.5,-3.0,N,52.5,48.499,48.499,14,3493
G4JVF,G4JVF,True,True,both,A,IO93ie,6.0,53.1875,-1.2917,N,53.1875,49.286,49.286,36,158319
G4JXZ,G4JXZ,True,True,both,B,IO92qb,6.0,52.0625,-0.625,N,52.0625,47.883,47.883,8,11588
G4KIN,G4KIN,True,True,both,B,IO83om,6.0,53.5208,-2.7917,N,53.5208,49.748,49.748,4,2186
G4KPX,G4KPX,True,True,both,A,JO02dj,6.0,52.3958,0.2917,N,52.3958,48.271,48.271,304,23973
G4LCM,G4LCM,True,True,both,A,IO81xv,6.0,51.8958,-2.0417,N,51.8958,47.717,47.717,347,125827
G4LJH,G4LJH,True,True,both,B,IO83,4.0,53.5,-3.0,N,53.5,49.731,49.731,3,106
G4LJZ,G4LJZ,True,True,both,A,IO81pd,6.0,51.1458,-2.7083,N,51.1458,46.801,46.801,13,19692
G4LLI,G4LLI,True,True,both,A,IO91ub,6.0,51.0625,-0.2917,N,51.0625,46.635,46.635,58,35727
G4LMN,G4LMN,True,True,both,B,IO91tr,6.0,51.7292,-0.375,N,51.7292,47.465,47.465,24,128448
G4LRP,G4LRP,True,True,both,A,IO91ta,6.0,51.0208,-0.375,N,51.0208,46.585,46.585,148,455481
G4MHJ,G4MHJ,True,True,both,B,JO01bl,6.0,51.4792,0.125,N,51.4792,47.145,47.145,3,134
G4MIB,G4MIB,True,True,both,A,IO81la,6.0,51.0208,-3.0417,N,51.0208,46.654,46.654,20,68823
G4MKF,G4MKF,True,True,both,A,IO91hj,6.0,51.3958,-1.375,N,51.3958,47.076,47.076,10,9471
G4MKR,G4MKR,True,True,both,B,IO92vd,6.0,52.1458,-0.2083,N,52.1458,47.976,47.976,22,23162
G4MQS,G4MQS,True,True,both,B,IO92ko,6.0,52.6042,-1.125,N,52.6042,48.565,48.565,5,16389
G4MRE,G4MRE,True,True,both,B,IO81tj,6.0,51.3958,-2.375,N,51.3958,47.104,47.104,6,18533
G4MRS,G4MRS,True,True,both,A,JO02pb,6.0,52.0625,1.2917,N,52.0625,47.841,47.841,38,45754
G4MSN,G4MSN,True,True,both,B,IO93fu,6.0,53.8542,-1.5417,N,53.8542,50.108,50.108,31,16265
G4MUV,G4MUV,True,True,both,B,IO92bh,6.0,52.3125,-1.875,N,52.3125,48.228,48.228,115,88414
G4NDM,G4NDM,True,True,both,A,IO92kw,6.0,52.9375,-1.125,N,52.9375,48.974,48.974,19,24356
G4NEY,G4NEY,True,True,both,A,JO02ah,6.0,52.3125,0.0417,N,52.3125,48.175,48.175,18,35218
G4NJI,G4NJI,True,True,both,B,IO93ik,6.0,53.4375,-1.2917,N,53.4375,49.591,49.591,9,1186
G4NJJ,G4NJJ,True,True,both,A,JO02,4.0,52.5,1.0,N,52.5,48.383,48.383,101,674488
