tx_sign,base_call,in_wsprnet,in_wsprdaemon,source_class,quality_tier,modal_grid,grid_precision,lat,lon,hemisphere,abs_lat,cgm_lat,abs_cgm_lat,n_days_active,n_spots_wsprnet
04G/PE1GYC,PE1GYC,True,False,wsprnet_only,B,JO10mv,6.0,50.8958,3.0417,N,50.8958,46.384,46.384,3,14
11R/LF1NVW,LF1NVW,True,True,both,A,IO53jn,6.0,53.5625,-9.2083,N,53.5625,50.143,50.143,234,17455
2D0MUP,2D0MUP,True,True,both,B,IO74,4.0,54.5,-5.0,N,54.5,51.046,51.046,4,10195
2E0AQU,2E0AQU,True,True,both,B,IO82wn,6.0,52.5625,-2.125,N,52.5625,48.545,48.545,8,26287
2E0BRU,2E0BRU,True,True,both,B,IO94,4.0,54.5,-1.0,N,54.5,50.87,50.87,8,1514
2E0BWX,2E0BWX,True,True,both,A,IO93le,6.0,53.1875,-1.0417,N,53.1875,49.278,49.278,18,3582
2E0CIT,2E0CIT,True,True,both,B,JO01ak,6.0,51.4375,0.0417,N,51.4375,47.095,47.095,190,362070
2E0CUH,2E0CUH,True,True,both,A,IO70if,6.0,50.2292,-5.2917,N,50.2292,45.73,45.73,12,41815
2E0CVW,2E0CVW,True,True,both,B,IO91,4.0,51.5,-1.0,N,51.5,47.196,47.196,4,49
2E0CWP,2E0CWP,True,True,both,A,IO94cr,6.0,54.7292,-1.7917,N,54.7292,51.177,51.177,20,47948
2E0DDV,2E0DDV,True,False,wsprnet_only,A,IO82uj,6.0,52.3958,-2.2917,N,52.3958,48.345,48.345,10,988
2E0DLC,2E0DLC,True,True,both,A,IO93hm,6.0,53.5208,-1.375,N,53.5208,49.696,49.696,395,3538222
2E0DMB,2E0DMB,True,True,both,A,IO90,4.0,50.5,-1.0,N,50.5,45.946,45.946,10,22026
2E0DSS,2E0DSS,True,True,both,A,IO82xl,6.0,52.4792,-2.0417,N,52.4792,48.44,48.44,367,1143834
2E0DVS,2E0DVS,True,True,both,B,IO92ej,6.0,52.3958,-1.625,N,52.3958,48.323,48.323,149,469713
2E0DXE,2E0DXE,True,True,both,A,IO93rg,6.0,53.2708,-0.5417,N,53.2708,49.364,49.364,13,5302
2E0EEY,2E0EEY,True,True,both,B,IO93et,6.0,53.8125,-1.625,N,53.8125,50.06,50.06,5,91
2E0ETU,2E0ETU,True,True,both,B,IO81ia,6.0,51.0208,-3.2917,N,51.0208,46.662,46.662,303,146493
2E0EUI,2E0EUI,True,False,wsprnet_only,A,JN49el,6.0,49.4792,8.375,N,49.4792,44.676,44.676,15,58
2E0FAS,2E0FAS,True,True,both,B,IO84jc,6.0,54.1042,-3.2083,N,54.1042,50.478,50.478,5,2909
2E0FDM,2E0FDM,True,True,both,A,IO81,4.0,51.5,-3.0,N,51.5,47.254,47.254,57,257271
2E0FHM,2E0FHM,True,True,both,B,IO92ws,6.0,52.7708,-0.125,N,52.7708,48.741,48.741,3,607
2E0FTZ,2E0FTZ,True,True,both,B,IO71va,6.0,51.0208,-4.2083,N,51.0208,46.694,46.694,4,1297
2E0GRV,2E0GRV,True,True,both,B,JO02rr,6.0,52.7292,1.4583,N,52.7292,48.653,48.653,6,1324
2E0GTD,2E0GTD,True,True,both,B,IO70jb,6.0,50.0625,-5.2083,N,50.0625,45.514,45.514,5,766
2E0GWF,2E0GWF,True,True,both,A,IO81,4.0,51.5,-3.0,N,51.5,47.254,47.254,151,172933
2E0HFK,2E0HFK,True,True,both,A,IO92fg,6.0,52.2708,-1.5417,N,52.2708,48.166,48.166,89,352043
2E0HKD,2E0HKD,True,True,both,B,IO91kg,6.0,51.2708,-1.125,N,51.2708,46.914,46.914,8,3308
2E0HKE,2E0HKE,True,True,both,A,IO81me,6.0,51.1875,-2.9583,N,51.1875,46.861,46.861,11,4647
2E0HQU,2E0HQU,True,True,both,B,IO94hr,6.0,54.7292,-1.375,N,54.7292,51.161,51.161,49,73285
2E0HQU/P,2E0HQU,True,True,both,B,IO94hr,6.0,54.7292,-1.375,N,54.7292,51.161,51.161,3,1590
2E0HXE,2E0HXE,True,True,both,B,JO01kd,6.0,51.1458,0.875,N,51.1458,46.718,46.718,7,9638
2E0HYX,2E0HYX,True,True,both,B,IO84wn,6.0,54.5625,-2.125,N,54.5625,50.989,50.989,73,83453
2E0IJC,2E0IJC,True,True,both,A,IO95fa,6.0,55.0208,-1.5417,N,55.0208,51.519,51.519,61,434927
2E0IKV,2E0IKV,True,True,both,A,JO01ii,6.0,51.3542,0.7083,N,51.3542,46.979,46.979,136,469559
2E0ILY,2E0ILY,True,True,both,B,IO82qv,6.0,52.8958,-2.625,N,52.8958,48.974,48.974,4,9613
2E0IPK,2E0IPK,True,True,both,B,JO01bm,6.0,51.5208,0.125,N,51.5208,47.196,47.196,4,332
2E0ITG,2E0ITG,True,True,both,A,IO83sm,6.0,53.5208,-2.4583,N,53.5208,49.735,49.735,25,12522
2E0IUW,2E0IUW,True,True,both,A,IO93,4.0,53.5,-1.0,N,53.5,49.658,49.658,12,5044
2E0JBG,2E0JBG,True,True,both,B,IO90tt,6.0,50.8125,-0.375,N,50.8125,46.325,46.325,3,154
2E0JCC,2E0JCC,True,True,both,A,IO81pl,6.0,51.4792,-2.7083,N,51.4792,47.219,47.219,29,3347
2E0JJI,2E0JJI,True,True,both,A,IO93,4.0,53.5,-1.0,N,53.5,49.658,49.658,33,782131
2E0KCY,2E0KCY,True,True,both,B,IO90xu,6.0,50.8542,-0.0417,N,50.8542,46.371,46.371,14,56986
2E0KHY,2E0KHY,True,True,both,B,JO02bf,6.0,52.2292,0.125,N,52.2292,48.07,48.07,5,12720
2E0KJQ,2E0KJQ,True,True,both,A,IO81xj,6.0,51.3958,-2.0417,N,51.3958,47.094,47.094,10,4933
2E0LGL,2E0LGL,True,True,both,B,JO02an,6.0,52.5625,0.0417,N,52.5625,48.481,48.481,7,23903
2E0LHQ,2E0LHQ,True,True,both,B,JO01qg,6.0,51.2708,1.375,N,51.2708,46.865,46.865,6,845
2E0LHZ,2E0LHZ,True,True,both,B,IO82xo,6.0,52.6042,-2.0417,N,52.6042,48.594,48.594,7,1679
2E0LPS,2E0LPS,True,True,both,A,IO81tm,6.0,51.5208,-2.375,N,51.5208,47.26,47.26,16,13636
2E0LSJ,2E0LSJ,True,True,both,A,IO82ss,6.0,52.7708,-2.4583,N,52.7708,48.814,48.814,45,199068
2E0MUA,2E0MUA,True,True,both,A,IO83uk,6.0,53.4375,-2.2917,N,53.4375,49.627,49.627,147,222597
2E0NER,2E0NER,True,True,both,A,IO93,4.0,53.5,-1.0,N,53.5,49.658,49.658,29,12782
2E0NJK,2E0NJK,True,True,both,B,IO70vi,6.0,50.3542,-4.2083,N,50.3542,45.85,45.85,9,2732
2E0NWL,2E0NWL,True,True,both,B,IO92gs,6.0,52.7708,-1.4583,N,52.7708,48.78,48.78,3,1978
2E0NWN,2E0NWN,True,True,both,B,IO93ft,6.0,53.8125,-1.5417,N,53.8125,50.057,50.057,5,2388
2E0OVO,2E0OVO,True,True,both,B,IO92,4.0,52.5,-1.0,N,52.5,48.433,48.433,8,2683
2E0PMJ,2E0PMJ,True,True,both,A,JO01hs,6.0,51.7708,0.625,N,51.7708,47.495,47.495,38,4339
2E0PSV,2E0PSV,True,True,both,A,IO70wj,6.0,50.3958,-4.125,N,50.3958,45.9,45.9,80,136715
2E0REB,2E0REB,True,True,both,B,IO91ng,6.0,51.2708,-0.875,N,51.2708,46.908,46.908,4,1885
2E0RPS,2E0RPS,True,True,both,B,JO01bl,6.0,51.4792,0.125,N,51.4792,47.145,47.145,3,400
2E0RQO,2E0RQO,True,True,both,B,IO91vf,6.0,51.2292,-0.2083,N,51.2292,46.841,46.841,4,1078
2E0SHD,2E0SHD,True,True,both,A,IO83ss,6.0,53.7708,-2.4583,N,53.7708,50.041,50.041,21,39209
2E0SSI,2E0SSI,True,True,both,B,JO01cj,6.0,51.3958,0.2083,N,51.3958,47.04,47.04,7,4591
2E0SXX,2E0SXX,True,True,both,B,IO91we,6.0,51.1875,-0.125,N,51.1875,46.788,46.788,5,6000
2E0TPT,2E0TPT,True,True,both,B,IO81,4.0,51.5,-3.0,N,51.5,47.254,47.254,7,2628
2E0UBN,2E0UBN,True,True,both,A,IO93ic,6.0,53.1042,-1.2917,N,53.1042,49.184,49.184,29,23478
2E0UCD,2E0UCD,True,True,both,B,IO70vx,6.0,50.9792,-4.2083,N,50.9792,46.642,46.642,7,4136
2E0UMK,2E0UMK,True,True,both,B,IO92ah,6.0,52.3125,-1.9583,N,52.3125,48.231,48.231,6,8038
2E0VAQ,2E0VAQ,True,True,both,B,JO02ul,6.0,52.4792,1.7083,N,52.4792,48.343,48.343,6,1424
2E0VDD,2E0VDD,True,True,both,B,IO80,4.0,50.5,-3.0,N,50.5,45.996,45.996,6,14852
2E0VDF,2E0VDF,True,True,both,B,IO93wn,6.0,53.5625,-0.125,N,53.5625,49.706,49.706,8,229
2E0VDS,2E0VDS,True,True,both,B,JO02al,6.0,52.4792,0.0417,N,52.4792,48.379,48.379,5,1235
2E0VOV,2E0VOV,True,True,both,A,IO90ar,6.0,50.7292,-1.9583,N,50.7292,46.256,46.256,15,78858
2E0WDS,2E0WDS,True,True,both,A,IO92,4.0,52.5,-1.0,N,52.5,48.433,48.433,24,56296
2E0WSF,2E0WSF,True,True,both,B,IO91ps,6.0,51.7708,-0.7083,N,51.7708,47.525,47.525,3,514
2E0XPQ,2E0XPQ,True,True,both,A,IO83ri,6.0,53.3542,-2.5417,N,53.3542,49.534,49.534,21,39980
2E0YEM,2E0YEM,True,True,both,B,IO81oj,6.0,51.3958,-2.7917,N,51.3958,47.117,47.117,3,1189
2E1EFG,2E1EFG,True,True,both,B,IO92qw,6.0,52.9375,-0.625,N,52.9375,48.959,48.959,4,501
2E1HSU,2E1HSU,True,True,both,B,IO91vx,6.0,51.9792,-0.2083,N,51.9792,47.77,47.77,7,900
2E1IAN,2E1IAN,True,True,both,A,IO83rk,6.0,53.4375,-2.5417,N,53.4375,49.636,49.636,12,7512
2E1IJU,2E1IJU,True,True,both,B,JO01,4.0,51.5,1.0,N,51.5,47.154,47.154,4,11
2E1IU,2E1IU,True,True,both,B,JO01,4.0,51.5,1.0,N,51.5,47.154,47.154,3,79
2I0PYZ,2I0PYZ,True,True,both,A,IO65,4.0,55.5,-7.0,N,55.5,52.377,52.377,21,65641
2M0CSZ,2M0CSZ,True,True,both,B,IO86cc,6.0,56.1042,-3.7917,N,56.1042,52.923,52.923,7,1386
2M0EWY,2M0EWY,True,True,both,A,IO86jg,6.0,56.2708,-3.2083,N,56.2708,53.092,53.092,71,92900
2M0HZO,2M0HZO,True,True,both,B,IO75uu,6.0,55.8542,-4.2917,N,55.8542,52.649,52.649,46,4452
2M0IPQ,2M0IPQ,True,True,both,B,IO85dt,6.0,55.8125,-3.7083,N,55.8125,52.569,52.569,3,796
2M0ITZ,2M0ITZ,True,True,both,B,IO86ca,6.0,56.0208,-3.7917,N,56.0208,52.823,52.823,7,2464
2M0NZB,2M0NZB,True,True,both,B,IO75tu,6.0,55.8542,-4.375,N,55.8542,52.653,52.653,8,2603
2M0PQX,2M0PQX,True,True,both,A,IO76hl,6.0,56.4792,-5.375,N,56.4792,53.459,53.459,27,38302
2M0WHN,2M0WHN,True,True,both,B,IO85ai,6.0,55.3542,-3.9583,N,55.3542,52.03,52.03,3,1424
2M0YZT,2M0YZT,True,True,both,A,IO86vx,6.0,56.9792,-2.2083,N,56.9792,53.885,53.885,49,242716
2W0KGH,2W0KGH,True,True,both,B,IO81,4.0,51.5,-3.0,N,51.5,47.254,47.254,4,2454
2W0KNX,2W0KNX,True,True,both,B,IO73vh,6.0,53.3125,-4.2083,N,53.3125,49.552,49.552,3,1179
2W0RRP,2W0RRP,True,True,both,A,IO72xj,6.0,52.3958,-4.0417,N,52.3958,48.411,48.411,20,42035
2W0XBC,2W0XBC,True,True,both,B,IO81fs,6.0,51.7708,-3.5417,N,51.7708,47.612,47.612,7,1568
2W1FUD,2W1FUD,True,True,both,B,IO81fm,6.0,51.5208,-3.5417,N,51.5208,47.299,47.299,19,37066
2W9BCF,2W9BCF,True,True,both,A,FA81,4.0,-88.5,-63.0,S,88.5,-73.005,73.005,174,316
3B8BAU,3B8BAU,True,False,wsprnet_only,B,LG89,4.0,-20.5,57.0,S,20.5,-29.747,29.747,4,249
3B8M,3B8M,True,True,both,B,LG89,4.0,-20.5,57.0,S,20.5,-29.747,29.747,5,4110
3B8RS,3B8RS,True,False,wsprnet_only,B,LG89,4.0,-20.5,57.0,S,20.5,-29.747,29.747,24,1895
3D0PA,3D0PA,True,True,both,B,KG53,4.0,-26.5,31.0,S,26.5,-35.929,35.929,4,1306
3D2UR,3D2UR,True,True,both,A,RH91,4.0,-18.5,179.0,S,18.5,-22.326,22.326,395,1166749
3K2AZR,3K2AZR,True,False,wsprnet_only,B,CN88hj,6.0,48.3958,-123.375,N,48.3958,53.066,53.066,5,15
3Z2Z,3Z2Z,True,True,both,A,JO83sq,6.0,53.6875,17.5417,N,53.6875,49.773,49.773,11,20829
4E1MDO,4E1MDO,True,True,both,A,PK04lk,6.0,14.4375,120.9583,N,14.4375,8.059,8.059,41,99433
4F1HMB,4F1HMB,True,True,both,B,PK04,4.0,14.5,121.0,N,14.5,8.124,8.124,8,1779
4HG/E50KOP,E50KOP,True,True,both,A,KM10qn,6.0,30.5625,23.375,N,30.5625,22.256,22.256,198,5483
4M9DES,4M9DES,True,False,wsprnet_only,B,IO91kg,6.0,51.2708,-1.125,N,51.2708,46.914,46.914,4,126
4U9UNV,4U9UNV,True,True,both,B,QP23,4.0,63.5,145.0,N,63.5,58.23,58.23,4,11
4X1DA,4X1DA,True,True,both,B,KM71mv,6.0,31.8958,35.0417,N,31.8958,26.094,26.094,46,118134
4X1MB,4X1MB,True,True,both,B,KM71,4.0,31.5,35.0,N,31.5,25.634,25.634,4,9147
4X1SK,4X1SK,True,True,both,B,KM72,4.0,32.5,35.0,N,32.5,26.781,26.781,4,10025
4X1TI,4X1TI,True,True,both,A,KM71jg,6.0,31.2708,34.7917,N,31.2708,25.338,25.338,10,14194
4X1WD,4X1WD,True,True,both,B,IO91vo,6.0,51.6042,-0.2083,N,51.6042,47.307,47.307,3,161
4X1ZZ,4X1ZZ,True,True,both,B,KM71os,6.0,31.7708,35.2083,N,31.7708,25.975,25.975,5,10620
4X4FD,4X4FD,True,True,both,B,KM71jf,6.0,31.2292,34.7917,N,31.2292,25.29,25.29,4,3376
4X5JK,4X5JK,True,True,both,A,KM71iu,6.0,31.8542,34.7083,N,31.8542,25.998,25.998,24,111754
4Z1BO,4Z1BO,True,True,both,A,KM72kc,6.0,32.1042,34.875,N,32.1042,26.309,26.309,65,80911
4Z1DZ,4Z1DZ,True,True,both,B,KM72,4.0,32.5,35.0,N,32.5,26.781,26.781,3,11007
4Z1OT,4Z1OT,True,True,both,B,KM72ux,6.0,32.9792,35.7083,N,32.9792,27.424,27.424,3,3707
4Z1UG,4Z1UG,True,True,both,A,KM71jd,6.0,31.1458,34.7917,N,31.1458,25.194,25.194,13,24767
4Z4TJ,4Z4TJ,True,True,both,A,KM71jf,6.0,31.2292,34.7917,N,31.2292,25.29,25.29,360,1898669
4Z5TK,4Z5TK,True,True,both,B,KM72lt,6.0,32.8125,34.9583,N,32.8125,27.133,27.133,3,2375
5B4AHZ,5B4AHZ,True,True,both,A,KM65pd,6.0,35.1458,33.2917,N,35.1458,29.587,29.587,12,240371
5B4AIX,5B4AIX,True,True,both,A,KM64ev,6.0,34.8958,32.375,N,34.8958,29.179,29.179,235,527673
5B4AIY,5B4AIY,True,True,both,A,KM64fu,6.0,34.8542,32.4583,N,34.8542,29.142,29.142,15,37842
5B4AJG,5B4AJG,True,True,both,B,KM64ev,6.0,34.8958,32.375,N,34.8958,29.179,29.179,12,5435
5B4ANU,5B4ANU,True,True,both,A,KM65qc,6.0,35.1042,33.375,N,35.1042,29.549,29.549,10,4754
5B4AOE,5B4AOE,True,True,both,A,KM64ux,6.0,34.9792,33.7083,N,34.9792,29.448,29.448,17,25054
5B4APB,5B4APB,True,True,both,B,KM65,4.0,35.5,33.0,N,35.5,29.957,29.957,3,476
5B4ASQ,5B4ASQ,True,True,both,B,KM64,4.0,34.5,33.0,N,34.5,28.805,28.805,13,121925
5P0T,5P0T,True,True,both,B,JO45jp,6.0,55.6458,8.7917,N,55.6458,52.001,52.001,3,4813
5P1JAM,5P1JAM,True,True,both,B,JO46rg,6.0,56.2708,9.4583,N,56.2708,52.713,52.713,7,2100
5P5Z,5P5Z,True,True,both,B,JO65eg,6.0,55.2708,12.375,N,55.2708,51.545,51.545,8,8379
5P7ZZ,5P7ZZ,True,True,both,A,JO65ck,6.0,55.4375,12.2083,N,55.4375,51.736,51.736,38,13912
5P9E,5P9E,True,True,both,B,JO65bi,6.0,55.3542,12.125,N,55.3542,51.641,51.641,3,5462
5R0RWK,5R0RWK,True,True,both,A,HE80,4.0,-49.5,-23.0,S,49.5,-46.161,46.161,12,13
5Z4GO,5Z4GO,True,True,both,A,KI96ua,6.0,-3.9792,39.7083,S,3.9792,-12.129,12.129,87,285858
60Z/LF1NT,LF1NT,True,True,both,A,JO32pm,6.0,52.5208,7.2917,N,52.5208,48.339,48.339,160,1898
6G5FPG,6G5FPG,True,False,wsprnet_only,B,KR03,4.0,83.5,21.0,N,83.5,80.628,80.628,7,14
6K2LYN,6K2LYN,True,True,both,B,PM37nl,6.0,37.4792,127.125,N,37.4792,31.734,31.734,8,119
6K5EDY,6K5EDY,True,True,both,B,PM45pm,6.0,35.5208,129.2917,N,35.5208,29.519,29.519,15,3407
6K5EFC,6K5EFC,True,True,both,B,PM45md,6.0,35.1458,129.0417,N,35.1458,29.149,29.149,5,1776
6K5ENP,6K5ENP,True,True,both,A,PM45,4.0,35.5,129.0,N,35.5,29.521,29.521,16,36461
6L5TNG,6L5TNG,True,True,both,B,PM45gt,6.0,35.8125,128.5417,N,35.8125,29.884,29.884,12,3043
6M0VF,6M0VF,True,True,both,B,PM35wd,6.0,35.1458,127.875,N,35.1458,29.245,29.245,12,8793
6T4SIO,6T4SIO,True,False,wsprnet_only,A,RK38,4.0,18.5,167.0,N,18.5,12.91,12.91,20,25
6V2QHY,6V2QHY,True,True,both,A,EP65,4.0,65.5,-87.0,N,65.5,73.413,73.413,82,518
6Y1QJT,6Y1QJT,True,True,both,B,JC21,4.0,-68.5,5.0,S,68.5,-60.98,60.98,5,13
6Y8MEY,6Y8MEY,True,True,both,B,HM79,4.0,39.5,-25.0,N,39.5,32.592,32.592,5,24
7J1ADS,7J1ADS,True,True,both,B,PM95,4.0,35.5,139.0,N,35.5,28.779,28.779,21,2015
7L4IOU,7L4IOU,True,True,both,B,PM95wr,6.0,35.7292,139.875,N,35.7292,28.967,28.967,6,1636
7S0SFJ,7S0SFJ,True,True,both,B,JO99bh,6.0,59.3125,18.125,N,59.3125,56.037,56.037,19,1286
7W1Z,7W1Z,True,True,both,A,OP89,4.0,69.5,117.0,N,69.5,65.283,65.283,29,121
7W2ICP,7W2ICP,True,True,both,A,AC19,4.0,-60.5,-177.0,S,60.5,-64.31,64.31,11,17
7Z1DV,7Z1DV,True,True,both,B,KM81pi,6.0,31.3542,37.2917,N,31.3542,25.79,25.79,5,1263
7Z1LR,7Z1LR,True,True,both,A,LL46tx,6.0,26.9792,49.625,N,26.9792,22.12,22.12,10,3454
8A6NRE,8A6NRE,True,True,both,A,LP65,4.0,65.5,53.0,N,65.5,62.4,62.4,10,491
8B8WRE,8B8WRE,True,False,wsprnet_only,B,ED29,4.0,-50.5,-95.0,S,50.5,-38.46,38.46,8,13
8P5AB,8P5AB,True,True,both,A,GK03ed,6.0,13.1458,-59.625,N,13.1458,15.611,15.611,38,229327
8P5AB/M,8P5AB,True,True,both,B,GK03ed,6.0,13.1458,-59.625,N,13.1458,15.611,15.611,4,2465
8P5AJ,8P5AJ,True,True,both,B,GK03fd,6.0,13.1458,-59.5417,N,13.1458,15.546,15.546,6,13945
8P6PE,8P6PE,True,True,both,A,GK03fd,6.0,13.1458,-59.5417,N,13.1458,15.546,15.546,38,142421
8P6RX,8P6RX,True,True,both,A,GK03fe,6.0,13.1875,-59.5417,N,13.1875,15.589,15.589,12,5076
8P9BT,8P9BT,True,True,both,B,GK03ed,6.0,13.1458,-59.625,N,13.1458,15.611,15.611,5,1830
8U2ICP,8U2ICP,True,True,both,A,LR61,4.0,81.5,53.0,N,81.5,77.742,77.742,11,34
9A/DG8MFV,DG8MFV,True,True,both,A,JN75ha,6.0,45.0208,14.625,N,45.0208,39.459,39.459,30,148994
9A/S57MK,S57MK,True,True,both,B,JN74fm,6.0,44.5208,14.4583,N,44.5208,38.833,38.833,16,6264
9A/W3VR,W3VR,True,True,both,B,JN73wq,6.0,43.6875,15.875,N,43.6875,37.902,37.902,3,455
9A3CQS,9A3CQS,True,True,both,B,JN86,4.0,46.5,17.0,N,46.5,41.39,41.39,4,953
9A3JH,9A3JH,True,True,both,A,JN75ad,6.0,45.1458,14.0417,N,45.1458,39.578,39.578,25,200054
9A3ZI,9A3ZI,True,True,both,A,JN86fj,6.0,46.3958,16.4583,N,46.3958,41.236,41.236,293,10463444
9A5BDE,9A5BDE,True,True,both,B,JN83ii,6.0,43.3542,16.7083,N,43.3542,37.555,37.555,25,103338
9A5CRZ,9A5CRZ,True,True,both,B,JN75xs,6.0,45.7708,15.9583,N,45.7708,40.454,40.454,6,1413
9A5TT,9A5TT,True,True,both,B,JN85th,6.0,45.3125,17.625,N,45.3125,40.002,40.002,5,3954
9A7AM,9A7AM,True,True,both,B,JN85as,6.0,45.7708,16.0417,N,45.7708,40.459,40.459,9,4271
9A9Y,9A9Y,True,True,both,B,JN85iw,6.0,45.9375,16.7083,N,45.9375,40.699,40.699,9,74821
9A9ZG,9A9ZG,True,True,both,B,JN75xu,6.0,45.8542,15.9583,N,45.8542,40.555,40.555,3,404
9B2DZM,9B2DZM,True,False,wsprnet_only,A,JN86,4.0,46.5,17.0,N,46.5,41.39,41.39,10,14
9D1F,9D1F,True,True,both,A,LL69,4.0,29.5,53.0,N,29.5,24.961,24.961,151,556721
9D1G,9D1G,True,True,both,A,LL69,4.0,29.5,53.0,N,29.5,24.961,24.961,191,1107901
9D1H,9D1H,True,True,both,A,LL69,4.0,29.5,53.0,N,29.5,24.961,24.961,312,348887
9D1I,9D1I,True,True,both,A,LL69,4.0,29.5,53.0,N,29.5,24.961,24.961,232,978192
9D1J,9D1J,True,True,both,A,LL69,4.0,29.5,53.0,N,29.5,24.961,24.961,346,3295461
9H1AA,9H1AA,True,True,both,B,JM75fw,6.0,35.9375,14.4583,N,35.9375,27.758,27.758,3,510
9H1ES,9H1ES,True,True,both,B,JM75fv,6.0,35.8958,14.4583,N,35.8958,27.702,27.702,3,752
9H1SIX,9H1SIX,True,True,both,A,JM75,4.0,35.5,15.0,N,35.5,27.248,27.248,70,11779
9H1SV,9H1SV,True,True,both,B,JM75gt,6.0,35.8125,14.5417,N,35.8125,27.601,27.601,9,2332
9H1UG,9H1UG,True,True,both,B,JM75fv,6.0,35.8958,14.4583,N,35.8958,27.702,27.702,8,34244
9H1XD,9H1XD,True,True,both,A,JM76,4.0,36.5,15.0,N,36.5,28.596,28.596,53,87458
9H5BM,9H5BM,True,True,both,A,JM75,4.0,35.5,15.0,N,35.5,27.248,27.248,26,540586
9M2GRC,9M2GRC,True,True,both,B,OJ03,4.0,3.5,101.0,N,3.5,-3.222,3.222,7,8786
9M4CPJ,9M4CPJ,True,True,both,B,OJ11lw,6.0,1.9375,102.9583,N,1.9375,-4.949,4.949,4,388
9N2NK,9N2NK,True,True,both,B,NL27qq,6.0,27.6875,85.375,N,27.6875,22.729,22.729,4,4522
9V1/DL7HSN,DL7HSN,True,True,both,B,OJ11wi,6.0,1.3542,103.875,N,1.3542,-5.563,5.563,5,76
9V1EB,9V1EB,True,True,both,B,OJ11,4.0,1.5,103.0,N,1.5,-5.462,5.462,5,33
9W8ASH,9W8ASH,True,True,both,B,OJ51,4.0,1.5,111.0,N,1.5,-4.949,4.949,7,2488
9Z4CAC,9Z4CAC,True,True,both,B,FK90fe,6.0,10.1875,-61.5417,N,10.1875,14.103,14.103,4,1620
A2NEW,A2NEW,True,True,both,B,KG25xj,6.0,-24.6042,25.9583,S,24.6042,-34.508,34.508,204,6550
A92AE,A92AE,True,True,both,B,LL56gd,6.0,26.1458,50.5417,N,26.1458,21.262,21.262,4,1690
AA0DW,AA0DW,True,True,both,B,DN70,4.0,40.5,-105.0,N,40.5,48.475,48.475,7,31253
AA0DY,AA0DY,True,True,both,B,DM78nu,6.0,38.8542,-104.875,N,38.8542,46.875,46.875,5,1730
AA0L,AA0L,True,True,both,A,DM78,4.0,38.5,-105.0,N,38.5,46.509,46.509,32,5607
AA0N,AA0N,True,True,both,A,EN42fa,6.0,42.0208,-91.5417,N,42.0208,51.121,51.121,304,104220
AA0NT,AA0NT,True,True,both,A,EM18ig,6.0,38.2708,-97.2917,N,38.2708,47.169,47.169,27,125332
AA0RD,AA0RD,True,True,both,B,CN88jc,6.0,48.1042,-123.2083,N,48.1042,52.811,52.811,5,640
AA0RX,AA0RX,True,True,both,B,DN70,4.0,40.5,-105.0,N,40.5,48.475,48.475,148,3137693
AA0TP,AA0TP,True,True,both,B,CN87vm,6.0,47.5208,-122.2083,N,47.5208,52.431,52.431,4,252
AA1AH,AA1AH,True,True,both,A,FN43,4.0,43.5,-71.0,N,43.5,50.719,50.719,394,3919996
AA1BS,AA1BS,True,True,both,B,FN43pp,6.0,43.6458,-70.7083,N,43.6458,50.807,50.807,8,12517
AA1II,AA1II,True,True,both,B,FN41ft,6.0,41.8125,-71.5417,N,41.8125,49.146,49.146,8,1462
AA1LO,AA1LO,True,True,both,A,FN43qh,6.0,43.3125,-70.625,N,43.3125,50.457,50.457,71,72587
AA1O,AA1O,True,True,both,B,EM97,4.0,37.5,-81.0,N,37.5,46.404,46.404,5,562
AA1QR,AA1QR,True,True,both,B,FN43ce,6.0,43.1875,-71.7917,N,43.1875,50.562,50.562,145,1282670
AA1RD,AA1RD,True,True,both,A,EM84rr,6.0,34.7292,-82.5417,N,34.7292,43.887,43.887,16,84114
AA1Z,AA1Z,True,True,both,B,CM98oj,6.0,38.3958,-120.7917,N,38.3958,43.715,43.715,13,29849
AA1ZH,AA1ZH,True,True,both,B,FN42,4.0,42.5,-71.0,N,42.5,49.721,49.721,5,215
AA1ZZ,AA1ZZ,True,True,both,B,EM16xg,6.0,36.2708,-96.0417,N,36.2708,45.322,45.322,9,7612
AA2JL,AA2JL,True,True,both,B,EL98bk,6.0,28.4375,-81.875,N,28.4375,37.828,37.828,6,1443
AA2L,AA2L,True,True,both,B,EN74qw,6.0,44.9375,-84.625,N,44.9375,53.834,53.834,23,22916
AA2MA,AA2MA,True,True,both,B,EM64pt,6.0,34.8125,-86.7083,N,34.8125,44.184,44.184,4,2363
AA2TR,AA2TR,True,True,both,B,FN30iv,6.0,40.8958,-73.2917,N,40.8958,48.577,48.577,5,18498
AA2UP,AA2UP,True,True,both,A,DM62pi,6.0,32.3542,-106.7083,N,32.3542,40.172,40.172,24,11165
AA3I,AA3I,True,True,both,A,FN20if,6.0,40.2292,-75.2917,N,40.2292,48.276,48.276,11,7108
AA3K,AA3K,True,True,both,B,FN20me,6.0,40.1875,-74.9583,N,40.1875,48.179,48.179,5,5954
AA3U,AA3U,True,True,both,B,EN90,4.0,40.5,-81.0,N,40.5,49.291,49.291,4,163
AA3WH,AA3WH,True,True,both,B,FN10,4.0,40.5,-77.0,N,40.5,48.806,48.806,7,14083
AA4BD,AA4BD,True,True,both,B,EL98,4.0,28.5,-81.0,N,28.5,37.807,37.807,6,2154
