rx_sign,rx_id,n_spots,n_noise_ok,n_ov_nonzero,first_spot,last_spot,n_bands,bands,noise_valid_frac,rms_noise_mean,c2_noise_mean,ov_frac,noise_usable
29,KA9Q_3,1,1,0,2025-08-15 23:52:00,2025-08-15 23:52:00,1,20m,1.0,-124.8,-80.8,0.0,True
290,FLYDOG,1,1,0,2025-10-16 23:04:00,2025-10-16 23:04:00,1,630m,1.0,-118.2,630.0,0.0,True
2911,KA9Q_0,1,1,0,2025-12-11 05:44:00,2025-12-11 05:44:00,1,other,1.0,-123.4,20.0,0.0,True
292,KIWI_2,1,1,0,2025-09-20 19:02:00,2025-09-20 19:02:00,1,30m,1.0,-133.5,30.0,0.0,True
2922,KA9Q_0,2,2,0,2025-09-02 01:30:00,2025-09-02 01:30:00,1,20m,1.0,-112.8,20.0,0.0,True
2970,KA9Q_0,1,1,0,2025-09-02 10:34:00,2025-09-02 10:34:00,1,20m,1.0,-112.8,20.0,0.0,True
2987,KA9Q_0,1,1,0,2025-09-02 07:44:00,2025-09-02 07:44:00,1,20m,1.0,-112.1,20.0,0.0,True
2995,KA9Q_0,2,2,0,2025-09-02 00:32:00,2025-09-02 04:48:00,1,30m,1.0,-121.25,30.0,0.0,True
3,KIWI_1,4,4,0,2026-01-14 10:28:00,2026-05-10 05:58:00,3,80m|20m|other,1.0,-135.57,-75.68,0.0,True
3000,KA9Q_0,1,1,0,2025-12-11 05:34:00,2025-12-11 05:34:00,1,other,1.0,-123.4,20.0,0.0,True
3042,KA9Q_0,1,1,0,2025-12-03 19:38:00,2025-12-03 19:38:00,1,other,1.0,-128.6,20.0,0.0,True
3057,KA9Q_0,2,2,0,2025-09-02 01:30:00,2025-09-02 07:44:00,1,20m,1.0,-112.45,20.0,0.0,True
3110,KA9Q_0,1,1,0,2025-09-02 04:48:00,2025-09-02 04:48:00,1,30m,1.0,-122.6,30.0,0.0,True
3122,KA9Q_0,1,1,0,2025-09-02 06:04:00,2025-09-02 06:04:00,1,20m,1.0,-112.9,20.0,0.0,True
3160,KA9Q_0,1,1,0,2025-09-01 23:12:00,2025-09-01 23:12:00,1,30m,1.0,-120.4,30.0,0.0,True
3162,KA9Q_0,1,1,0,2025-09-02 07:44:00,2025-09-02 07:44:00,1,20m,1.0,-112.1,20.0,0.0,True
3170,KA9Q_0,1,1,0,2025-09-02 10:34:00,2025-09-02 10:34:00,1,20m,1.0,-112.8,20.0,0.0,True
3214,KA9Q_0,1,1,0,2025-09-02 07:44:00,2025-09-02 07:44:00,1,20m,1.0,-112.1,20.0,0.0,True
3216,KA9Q_0,1,1,0,2025-12-11 08:56:00,2025-12-11 08:56:00,1,10m,1.0,-121.0,30.0,0.0,True
336,KA9Q_KFS_OMNI,1,1,0,2025-06-05 04:48:00,2025-06-05 04:48:00,1,20m,1.0,-78.6,-80.2,0.0,True
3395,KA9Q_0,1,1,0,2025-12-03 20:08:00,2025-12-03 20:08:00,1,other,1.0,-130.9,15.0,0.0,True
3503,KA9Q_0,1,1,0,2025-09-02 01:30:00,2025-09-02 01:30:00,1,20m,1.0,-112.8,20.0,0.0,True
3518,KA9Q_0,1,1,0,2025-09-02 06:04:00,2025-09-02 06:04:00,1,20m,1.0,-112.9,20.0,0.0,True
353,FLYDOG,1,1,0,2025-07-01 10:06:00,2025-07-01 10:06:00,1,40m,1.0,-144.2,40.0,0.0,True
3574,KA9Q-0,1,1,0,2025-06-15 15:22:00,2025-06-15 15:22:00,1,20m,1.0,-150.1,20.0,0.0,True
3582,KA9Q_0,1,1,0,2025-09-02 01:30:00,2025-09-02 01:30:00,1,20m,1.0,-112.8,20.0,0.0,True
3629,KA9Q-0,1,1,0,2025-06-15 15:22:00,2025-06-15 15:22:00,1,20m,1.0,-150.1,20.0,0.0,True
3672,KA9Q_0,1,1,0,2025-09-02 01:30:00,2025-09-02 01:30:00,1,20m,1.0,-112.8,20.0,0.0,True
369,KA9Q_3,1,1,0,2025-08-15 17:52:00,2025-08-15 17:52:00,1,20m,1.0,-128.8,-83.9,0.0,True
3839,KA9Q_0,1,1,0,2025-09-02 00:32:00,2025-09-02 00:32:00,1,30m,1.0,-119.9,30.0,0.0,True
3898,KA9Q_0,1,1,0,2025-08-19 11:10:00,2025-08-19 11:10:00,1,30m,1.0,-131.9,30.0,0.0,True
398,FLYDOG,1,1,0,2025-07-01 10:06:00,2025-07-01 10:06:00,1,40m,1.0,-144.2,40.0,0.0,True
4,KA9Q_3,6,6,0,2025-08-15 14:36:00,2025-09-02 04:56:00,3,40m|30m|20m,1.0,-127.08,25.0,0.0,True
4400,KA9Q_0,1,1,0,2025-12-03 20:12:00,2025-12-03 20:12:00,1,other,1.0,-118.2,-105.1,0.0,True
4473,KIWI_0,1,1,0,2025-10-08 02:38:00,2025-10-08 02:38:00,1,20m,1.0,-128.0,-135.8,0.0,True
5,KA9Q-0,1,1,0,2025-06-10 15:52:00,2025-06-10 15:52:00,1,20m,1.0,-151.5,-49.7,0.0,True
50,KA9Q-0,1,1,0,2025-06-11 19:32:00,2025-06-11 19:32:00,1,20m,1.0,-151.1,-57.4,0.0,True
5121,KA9Q_0,2,2,0,2025-09-02 07:44:00,2025-09-02 07:44:00,1,20m,1.0,-112.1,20.0,0.0,True
5376,KA9Q-0,1,1,0,2025-06-24 17:12:00,2025-06-24 17:12:00,1,20m,1.0,-147.7,20.0,0.0,True
5462,KA9Q-0,1,1,0,2025-06-24 17:12:00,2025-06-24 17:12:00,1,20m,1.0,-147.7,20.0,0.0,True
5468,KA9Q_0,1,1,0,2025-09-02 01:30:00,2025-09-02 01:30:00,1,20m,1.0,-112.8,20.0,0.0,True
551,KIWI_2,1,1,0,2025-09-20 19:02:00,2025-09-20 19:02:00,1,30m,1.0,-133.5,30.0,0.0,True
5581,KA9Q-0,1,1,0,2025-06-15 15:22:00,2025-06-15 15:22:00,1,20m,1.0,-150.1,20.0,0.0,True
559,KIWI_2,1,1,0,2025-09-20 19:02:00,2025-09-20 19:02:00,1,30m,1.0,-133.5,30.0,0.0,True
570,KA9Q_0,1,1,0,2025-12-03 19:54:00,2025-12-03 19:54:00,1,other,1.0,-130.1,20.0,0.0,True
573,FLYDOG,1,1,0,2025-07-01 10:06:00,2025-07-01 10:06:00,1,40m,1.0,-144.2,40.0,0.0,True
575,KA9Q_0,2,2,0,2025-12-03 19:38:00,2025-12-03 19:54:00,1,other,1.0,-129.35,20.0,0.0,True
5942,KA9Q_0,1,1,0,2025-10-07 02:44:00,2025-10-07 02:44:00,1,60m,1.0,-142.4,60.0,0.0,True
6,KIWI_1,2,2,0,2026-05-10 08:28:00,2026-05-10 08:28:00,1,20m,1.0,-150.7,-88.8,0.0,True
603,FLYDOG,1,1,0,2025-07-01 10:06:00,2025-07-01 10:06:00,1,40m,1.0,-144.2,40.0,0.0,True
6051,KA9Q_0,1,1,0,2025-09-02 01:30:00,2025-09-02 01:30:00,1,20m,1.0,-112.8,20.0,0.0,True
626,KA9Q_0,1,1,0,2025-12-03 19:38:00,2025-12-03 19:38:00,1,other,1.0,-128.6,20.0,0.0,True
635,KA9Q_0,1,1,0,2025-12-03 19:38:00,2025-12-03 19:38:00,1,other,1.0,-128.6,20.0,0.0,True
645,KA9Q_0,1,1,0,2025-08-19 11:10:00,2025-08-19 11:10:00,1,30m,1.0,-131.9,30.0,0.0,True
657,FLYDOG,1,1,0,2025-07-01 10:06:00,2025-07-01 10:06:00,1,40m,1.0,-144.2,40.0,0.0,True
66,KIWI_1,2,2,0,2025-08-03 18:28:00,2025-08-03 18:28:00,1,30m,1.0,-102.0,-164.5,0.0,True
6694,KA9Q_0,1,1,0,2025-09-02 01:30:00,2025-09-02 01:30:00,1,20m,1.0,-112.8,20.0,0.0,True
67975,KIWI_1,2,2,0,2025-10-05 06:10:00,2025-10-05 06:10:00,1,40m,1.0,-125.4,-124.1,0.0,True
682,KIWI_2,1,1,0,2025-08-19 11:06:00,2025-08-19 11:06:00,1,20m,1.0,-132.6,20.0,0.0,True
7,KIWI_1,2,2,0,2026-05-09 04:28:00,2026-05-09 04:28:00,1,80m,1.0,-129.6,-69.3,0.0,True
707,KIWI_2,1,1,0,2025-08-19 11:06:00,2025-08-19 11:06:00,1,20m,1.0,-132.6,20.0,0.0,True
709,FLYDOG,1,1,0,2025-07-01 10:06:00,2025-07-01 10:06:00,1,40m,1.0,-144.2,40.0,0.0,True
71,KIWI_1,1,1,0,2025-08-03 16:58:00,2025-08-03 16:58:00,1,30m,1.0,-102.2,-164.7,0.0,True
7237,KA9Q_3,1,1,0,2025-08-15 23:24:00,2025-08-15 23:24:00,1,20m,1.0,-126.5,20.0,0.0,True
725,KA9Q_0,1,1,0,2025-12-03 19:54:00,2025-12-03 19:54:00,1,other,1.0,-130.1,20.0,0.0,True
732,KA9Q-0,1,1,0,2025-06-24 17:12:00,2025-06-24 17:12:00,1,20m,1.0,-147.7,20.0,0.0,True
732,KA9Q_0,2,2,0,2025-12-03 19:54:00,2025-12-03 19:54:00,1,other,1.0,-130.1,20.0,0.0,True
747,KA9Q_0,1,1,0,2025-12-03 19:38:00,2025-12-03 19:38:00,1,other,1.0,-128.6,20.0,0.0,True
7564,KA9Q_0,1,1,0,2025-12-03 19:18:00,2025-12-03 19:18:00,1,other,1.0,-129.6,-98.9,0.0,True
757,KIWIA,2,2,0,2025-07-01 09:58:00,2025-07-01 09:58:00,1,30m,1.0,-137.2,30.0,0.0,True
759,KIWIA,1,1,0,2025-07-01 09:58:00,2025-07-01 09:58:00,1,30m,1.0,-137.2,30.0,0.0,True
7755,KA9Q_0,1,1,0,2025-09-02 01:30:00,2025-09-02 01:30:00,1,20m,1.0,-112.8,20.0,0.0,True
781,WEB-888,1,1,0,2025-06-13 19:52:00,2025-06-13 19:52:00,1,20m,1.0,-152.4,20.0,0.0,True
802,WEB-888,1,1,0,2025-06-13 19:52:00,2025-06-13 19:52:00,1,20m,1.0,-152.4,20.0,0.0,True
8078,KA9Q_0,1,1,0,2025-09-02 04:48:00,2025-09-02 04:48:00,1,30m,1.0,-122.6,30.0,0.0,True
815,FLYDOG,1,1,0,2025-07-01 10:06:00,2025-07-01 10:06:00,1,40m,1.0,-144.2,40.0,0.0,True
824,KIWI_2,1,1,0,2025-07-11 11:14:00,2025-07-11 11:14:00,1,40m,1.0,-146.8,40.0,0.0,True
