rx_sign,site_call,in_wsprnet,in_wsprdaemon,source_class,sw_class,modal_grid,grid_precision,lat,lon,hemisphere,abs_lat,cgm_lat,abs_cgm_lat,quality_tier,n_days_active,n_spots_wsprnet,n_spots_wd,noise_valid_frac
PA3ARI,PA3ARI,True,False,wsprnet_only,wsjtx,JO32cf,6.0,52.2292,6.2083,N,52.2292,47.992,47.992,C,14,10180.0,,
PA3ARI/1,PA3ARI,True,False,wsprnet_only,wsjtx,JO32cf,6.0,52.2292,6.2083,N,52.2292,47.992,47.992,D,1,93.0,,
PA3ARI/T,PA3ARI,True,False,wsprnet_only,wsjtx,JO32cf,6.0,52.2292,6.2083,N,52.2292,47.992,47.992,D,2,328.0,,
PA3ATR,PA3ATR,True,False,wsprnet_only,wsjtx,JO22pb,6.0,52.0625,5.2917,N,52.0625,47.795,47.795,D,1,221.0,,
PA3AUM,PA3AUM,True,False,wsprnet_only,wsjtx,JO22pj,6.0,52.3958,5.2917,N,52.3958,48.197,48.197,D,6,2044.0,,
PA3AZX,PA3AZX,True,False,wsprnet_only,wsjtx,JO22qe,6.0,52.1875,5.375,N,52.1875,47.945,47.945,B,45,4122.0,,
PA3BAK,PA3BAK,True,False,wsprnet_only,wsjtx,JO11sm,6.0,51.5208,3.5417,N,51.5208,47.148,47.148,C,24,3567.0,,
PA3BAS,PA3BAS,True,False,wsprnet_only,web888,JO21xx,6.0,51.9792,5.9583,N,51.9792,47.691,47.691,B,192,212766.0,,
PA3BBV,PA3BBV,True,False,wsprnet_only,wsjtx,JO22ui,6.0,52.3542,5.7083,N,52.3542,48.144,48.144,D,2,310.0,,
PA3BDI,PA3BDI,True,False,wsprnet_only,wsjtx,JO22od,6.0,52.1458,5.2083,N,52.1458,47.896,47.896,B,66,3852.0,,
PA3BDR,PA3BDR,True,False,wsprnet_only,other,JO22fe,6.0,52.1875,4.4583,N,52.1875,47.951,47.951,D,1,3.0,,
PA3BHL,PA3BHL,True,False,wsprnet_only,wsjtx,JO22ki,6.0,52.3542,4.875,N,52.3542,48.149,48.149,D,1,8.0,,
PA3BHW,PA3BHW,True,False,wsprnet_only,wsjtx,JO32hq,6.0,52.6875,6.625,N,52.6875,48.54,48.54,C,10,17118.0,,
PA3BIA,PA3BIA,True,False,wsprnet_only,wsjtx,JO21tl,6.0,51.4792,5.625,N,51.4792,47.087,47.087,D,2,1870.0,,
PA3BKB,PA3BKB,True,False,wsprnet_only,wsjtx,JO21,4.0,51.5,5.0,N,51.5,47.114,47.114,C,15,3513.0,,
PA3BKD,PA3BKD,True,False,wsprnet_only,other,JO21xw,6.0,51.9375,5.9583,N,51.9375,47.641,47.641,C,11,1760.0,,
PA3BPV,PA3BPV,True,False,wsprnet_only,wsjtx,JO21vr,6.0,51.7292,5.7917,N,51.7292,47.39,47.39,D,4,2833.0,,
PA3BTI,PA3BTI,True,False,wsprnet_only,unknown,JO22og,6.0,52.2708,5.2083,N,52.2708,48.047,48.047,B,107,429533.0,,
PA3BTL,PA3BTL,True,False,wsprnet_only,other,JO22lm,6.0,52.5208,4.9583,N,52.5208,48.35,48.35,B,53,65718.0,,
PA3BUL,PA3BUL,True,False,wsprnet_only,wsjtx,JO20xw,6.0,50.9375,5.9583,N,50.9375,46.429,46.429,C,15,2209.0,,
PA3BV,PA3BV,True,False,wsprnet_only,wsjtx,JO22ta,6.0,52.0208,5.625,N,52.0208,47.743,47.743,D,3,99.0,,
PA3BXR,PA3BXR,True,False,wsprnet_only,wsjtx,JO21hu,6.0,51.8542,4.625,N,51.8542,47.546,47.546,C,11,1881.0,,
PA3BYK,PA3BYK,True,False,wsprnet_only,wsjtx,JO22fa,6.0,52.0208,4.4583,N,52.0208,47.749,47.749,B,123,11695.0,,
PA3CDD,PA3CDD,True,False,wsprnet_only,other,JO32kf,6.0,52.2292,6.875,N,52.2292,47.99,47.99,D,3,229.0,,
PA3CJP,PA3CJP,True,False,wsprnet_only,wsjtx,JO22pg,6.0,52.2708,5.2917,N,52.2708,48.046,48.046,D,2,5351.0,,
PA3CMD,PA3CMD,True,False,wsprnet_only,wsjtx,JO32lx,6.0,52.9792,6.9583,N,52.9792,48.886,48.886,C,9,1438.0,,
PA3CND,PA3CND,True,False,wsprnet_only,wsjtx,JO32lx,6.0,52.9792,6.9583,N,52.9792,48.886,48.886,D,1,20.0,,
PA3CRX,PA3CRX,True,False,wsprnet_only,wsjtx,JO22ng,6.0,52.2708,5.125,N,52.2708,48.047,48.047,C,8,5232.0,,
PA3CSG,PA3CSG,True,False,wsprnet_only,wsjtx,JO21wd,6.0,51.1458,5.875,N,51.1458,46.683,46.683,D,3,2803.0,,
PA3CXB,PA3CXB,True,False,wsprnet_only,other,JO32ke,6.0,52.1875,6.875,N,52.1875,47.94,47.94,D,1,41.0,,
PA3DRL,PA3DRL,True,False,wsprnet_only,wsjtx,JO21ps,6.0,51.7708,5.2917,N,51.7708,47.442,47.442,C,7,751.0,,
PA3DXL,PA3DXL,True,False,wsprnet_only,wsjtx,JO22xn,6.0,52.5625,5.9583,N,52.5625,48.393,48.393,D,2,189.0,,
PA3DYC,PA3DYC,True,False,wsprnet_only,wsjtx,JO21wv,6.0,51.8958,5.875,N,51.8958,47.591,47.591,D,3,765.0,,
PA3DZA,PA3DZA,True,False,wsprnet_only,wsjtx,JO31bl,6.0,51.4792,6.125,N,51.4792,47.087,47.087,D,6,2586.0,,
PA3EDR,PA3EDR,True,False,wsprnet_only,wsjtx,JO32cf,6.0,52.2292,6.2083,N,52.2292,47.992,47.992,D,3,49.0,,
PA3EDR/C,PA3EDR,True,False,wsprnet_only,wsjtx,JO32cf,6.0,52.2292,6.2083,N,52.2292,47.992,47.992,D,1,18.0,,
PA3EDR/T,PA3EDR,True,False,wsprnet_only,wsjtx,JO32cf,6.0,52.2292,6.2083,N,52.2292,47.992,47.992,D,1,131.0,,
PA3EDR/Y,PA3EDR,True,False,wsprnet_only,wsjtx,JO32cf,6.0,52.2292,6.2083,N,52.2292,47.992,47.992,D,1,16.0,,
PA3EEG,PA3EEG,True,False,wsprnet_only,wsjtx,JO32lw,6.0,52.9375,6.9583,N,52.9375,48.836,48.836,D,1,34.0,,
PA3EEP,PA3EEP,True,False,wsprnet_only,unknown,JO22ja,6.0,52.0208,4.7917,N,52.0208,47.747,47.747,B,184,23394.0,,
PA3EKM,PA3EKM,True,False,wsprnet_only,other,JO33ge,6.0,53.1875,6.5417,N,53.1875,49.136,49.136,C,7,100.0,,
PA3EM,PA3EM,True,False,wsprnet_only,wsjtx,JO32kf,6.0,52.2292,6.875,N,52.2292,47.99,47.99,D,3,31.0,,
